GEO.id,GEO.id2,GEO.display-label,HC01_EST_VC01,HC01_MOE_VC01,HC02_EST_VC01,HC02_MOE_VC01,HC03_EST_VC01,HC03_MOE_VC01,HC04_EST_VC01,HC04_MOE_VC01,HC05_EST_VC01,HC05_MOE_VC01,HC06_EST_VC01,HC06_MOE_VC01,HC01_EST_VC02,HC01_MOE_VC02,HC02_EST_VC02,HC02_MOE_VC02,HC03_EST_VC02,HC03_MOE_VC02,HC04_EST_VC02,HC04_MOE_VC02,HC05_EST_VC02,HC05_MOE_VC02,HC06_EST_VC02,HC06_MOE_VC02,HC01_EST_VC03,HC01_MOE_VC03,HC02_EST_VC03,HC02_MOE_VC03,HC03_EST_VC03,HC03_MOE_VC03,HC04_EST_VC03,HC04_MOE_VC03,HC05_EST_VC03,HC05_MOE_VC03,HC06_EST_VC03,HC06_MOE_VC03,HC01_EST_VC04,HC01_MOE_VC04,HC02_EST_VC04,HC02_MOE_VC04,HC03_EST_VC04,HC03_MOE_VC04,HC04_EST_VC04,HC04_MOE_VC04,HC05_EST_VC04,HC05_MOE_VC04,HC06_EST_VC04,HC06_MOE_VC04,HC01_EST_VC05,HC01_MOE_VC05,HC02_EST_VC05,HC02_MOE_VC05,HC03_EST_VC05,HC03_MOE_VC05,HC04_EST_VC05,HC04_MOE_VC05,HC05_EST_VC05,HC05_MOE_VC05,HC06_EST_VC05,HC06_MOE_VC05,HC01_EST_VC06,HC01_MOE_VC06,HC02_EST_VC06,HC02_MOE_VC06,HC03_EST_VC06,HC03_MOE_VC06,HC04_EST_VC06,HC04_MOE_VC06,HC05_EST_VC06,HC05_MOE_VC06,HC06_EST_VC06,HC06_MOE_VC06,HC01_EST_VC07,HC01_MOE_VC07,HC02_EST_VC07,HC02_MOE_VC07,HC03_EST_VC07,HC03_MOE_VC07,HC04_EST_VC07,HC04_MOE_VC07,HC05_EST_VC07,HC05_MOE_VC07,HC06_EST_VC07,HC06_MOE_VC07,HC01_EST_VC08,HC01_MOE_VC08,HC02_EST_VC08,HC02_MOE_VC08,HC03_EST_VC08,HC03_MOE_VC08,HC04_EST_VC08,HC04_MOE_VC08,HC05_EST_VC08,HC05_MOE_VC08,HC06_EST_VC08,HC06_MOE_VC08,HC01_EST_VC09,HC01_MOE_VC09,HC02_EST_VC09,HC02_MOE_VC09,HC03_EST_VC09,HC03_MOE_VC09,HC04_EST_VC09,HC04_MOE_VC09,HC05_EST_VC09,HC05_MOE_VC09,HC06_EST_VC09,HC06_MOE_VC09,HC01_EST_VC10,HC01_MOE_VC10,HC02_EST_VC10,HC02_MOE_VC10,HC03_EST_VC10,HC03_MOE_VC10,HC04_EST_VC10,HC04_MOE_VC10,HC05_EST_VC10,HC05_MOE_VC10,HC06_EST_VC10,HC06_MOE_VC10,HC01_EST_VC11,HC01_MOE_VC11,HC02_EST_VC11,HC02_MOE_VC11,HC03_EST_VC11,HC03_MOE_VC11,HC04_EST_VC11,HC04_MOE_VC11,HC05_EST_VC11,HC05_MOE_VC11,HC06_EST_VC11,HC06_MOE_VC11,HC01_EST_VC12,HC01_MOE_VC12,HC02_EST_VC12,HC02_MOE_VC12,HC03_EST_VC12,HC03_MOE_VC12,HC04_EST_VC12,HC04_MOE_VC12,HC05_EST_VC12,HC05_MOE_VC12,HC06_EST_VC12,HC06_MOE_VC12,HC01_EST_VC13,HC01_MOE_VC13,HC02_EST_VC13,HC02_MOE_VC13,HC03_EST_VC13,HC03_MOE_VC13,HC04_EST_VC13,HC04_MOE_VC13,HC05_EST_VC13,HC05_MOE_VC13,HC06_EST_VC13,HC06_MOE_VC13,HC01_EST_VC14,HC01_MOE_VC14,HC02_EST_VC14,HC02_MOE_VC14,HC03_EST_VC14,HC03_MOE_VC14,HC04_EST_VC14,HC04_MOE_VC14,HC05_EST_VC14,HC05_MOE_VC14,HC06_EST_VC14,HC06_MOE_VC14,HC01_EST_VC17,HC01_MOE_VC17,HC02_EST_VC17,HC02_MOE_VC17,HC03_EST_VC17,HC03_MOE_VC17,HC04_EST_VC17,HC04_MOE_VC17,HC05_EST_VC17,HC05_MOE_VC17,HC06_EST_VC17,HC06_MOE_VC17
Id,Id2,Geography,Total; Estimate; Civilian employed population 16 years and over,Total; Margin of Error; Civilian employed population 16 years and over,"Management, business, science, and arts occupations; Estimate; Civilian employed population 16 years and over","Management, business, science, and arts occupations; Margin of Error; Civilian employed population 16 years and over",Service occupations; Estimate; Civilian employed population 16 years and over,Service occupations; Margin of Error; Civilian employed population 16 years and over,Sales and office occupations; Estimate; Civilian employed population 16 years and over,Sales and office occupations; Margin of Error; Civilian employed population 16 years and over,"Natural resources, construction, and maintenance occupations; Estimate; Civilian employed population 16 years and over","Natural resources, construction, and maintenance occupations; Margin of Error; Civilian employed population 16 years and over","Production, transportation, and material moving occupations; Estimate; Civilian employed population 16 years and over","Production, transportation, and material moving occupations; Margin of Error; Civilian employed population 16 years and over","Total; Estimate; Agriculture, forestry, fishing and hunting, and mining","Total; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Management, business, science, and arts occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining","Management, business, science, and arts occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Service occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining","Service occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Sales and office occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining","Sales and office occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Natural resources, construction, and maintenance occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining","Natural resources, construction, and maintenance occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining","Production, transportation, and material moving occupations; Estimate; Agriculture, forestry, fishing and hunting, and mining","Production, transportation, and material moving occupations; Margin of Error; Agriculture, forestry, fishing and hunting, and mining",Total; Estimate; Construction,Total; Margin of Error; Construction,"Management, business, science, and arts occupations; Estimate; Construction","Management, business, science, and arts occupations; Margin of Error; Construction",Service occupations; Estimate; Construction,Service occupations; Margin of Error; Construction,Sales and office occupations; Estimate; Construction,Sales and office occupations; Margin of Error; Construction,"Natural resources, construction, and maintenance occupations; Estimate; Construction","Natural resources, construction, and maintenance occupations; Margin of Error; Construction","Production, transportation, and material moving occupations; Estimate; Construction","Production, transportation, and material moving occupations; Margin of Error; Construction",Total; Estimate; Manufacturing,Total; Margin of Error; Manufacturing,"Management, business, science, and arts occupations; Estimate; Manufacturing","Management, business, science, and arts occupations; Margin of Error; Manufacturing",Service occupations; Estimate; Manufacturing,Service occupations; Margin of Error; Manufacturing,Sales and office occupations; Estimate; Manufacturing,Sales and office occupations; Margin of Error; Manufacturing,"Natural resources, construction, and maintenance occupations; Estimate; Manufacturing","Natural resources, construction, and maintenance occupations; Margin of Error; Manufacturing","Production, transportation, and material moving occupations; Estimate; Manufacturing","Production, transportation, and material moving occupations; Margin of Error; Manufacturing",Total; Estimate; Wholesale trade,Total; Margin of Error; Wholesale trade,"Management, business, science, and arts occupations; Estimate; Wholesale trade","Management, business, science, and arts occupations; Margin of Error; Wholesale trade",Service occupations; Estimate; Wholesale trade,Service occupations; Margin of Error; Wholesale trade,Sales and office occupations; Estimate; Wholesale trade,Sales and office occupations; Margin of Error; Wholesale trade,"Natural resources, construction, and maintenance occupations; Estimate; Wholesale trade","Natural resources, construction, and maintenance occupations; Margin of Error; Wholesale trade","Production, transportation, and material moving occupations; Estimate; Wholesale trade","Production, transportation, and material moving occupations; Margin of Error; Wholesale trade",Total; Estimate; Retail trade,Total; Margin of Error; Retail trade,"Management, business, science, and arts occupations; Estimate; Retail trade","Management, business, science, and arts occupations; Margin of Error; Retail trade",Service occupations; Estimate; Retail trade,Service occupations; Margin of Error; Retail trade,Sales and office occupations; Estimate; Retail trade,Sales and office occupations; Margin of Error; Retail trade,"Natural resources, construction, and maintenance occupations; Estimate; Retail trade","Natural resources, construction, and maintenance occupations; Margin of Error; Retail trade","Production, transportation, and material moving occupations; Estimate; Retail trade","Production, transportation, and material moving occupations; Margin of Error; Retail trade","Total; Estimate; Transportation and warehousing, and utilities","Total; Margin of Error; Transportation and warehousing, and utilities","Management, business, science, and arts occupations; Estimate; Transportation and warehousing, and utilities","Management, business, science, and arts occupations; Margin of Error; Transportation and warehousing, and utilities","Service occupations; Estimate; Transportation and warehousing, and utilities","Service occupations; Margin of Error; Transportation and warehousing, and utilities","Sales and office occupations; Estimate; Transportation and warehousing, and utilities","Sales and office occupations; Margin of Error; Transportation and warehousing, and utilities","Natural resources, construction, and maintenance occupations; Estimate; Transportation and warehousing, and utilities","Natural resources, construction, and maintenance occupations; Margin of Error; Transportation and warehousing, and utilities","Production, transportation, and material moving occupations; Estimate; Transportation and warehousing, and utilities","Production, transportation, and material moving occupations; Margin of Error; Transportation and warehousing, and utilities",Total; Estimate; Information,Total; Margin of Error; Information,"Management, business, science, and arts occupations; Estimate; Information","Management, business, science, and arts occupations; Margin of Error; Information",Service occupations; Estimate; Information,Service occupations; Margin of Error; Information,Sales and office occupations; Estimate; Information,Sales and office occupations; Margin of Error; Information,"Natural resources, construction, and maintenance occupations; Estimate; Information","Natural resources, construction, and maintenance occupations; Margin of Error; Information","Production, transportation, and material moving occupations; Estimate; Information","Production, transportation, and material moving occupations; Margin of Error; Information","Total; Estimate; Finance and insurance, and real estate and rental and leasing","Total; Margin of Error; Finance and insurance, and real estate and rental and leasing","Management, business, science, and arts occupations; Estimate; Finance and insurance, and real estate and rental and leasing","Management, business, science, and arts occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing","Service occupations; Estimate; Finance and insurance, and real estate and rental and leasing","Service occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing","Sales and office occupations; Estimate; Finance and insurance, and real estate and rental and leasing","Sales and office occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing","Natural resources, construction, and maintenance occupations; Estimate; Finance and insurance, and real estate and rental and leasing","Natural resources, construction, and maintenance occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing","Production, transportation, and material moving occupations; Estimate; Finance and insurance, and real estate and rental and leasing","Production, transportation, and material moving occupations; Margin of Error; Finance and insurance, and real estate and rental and leasing","Total; Estimate; Professional, scientific, and management, and administrative and waste management services","Total; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Management, business, science, and arts occupations; Estimate; Professional, scientific, and management, and administrative and waste management services","Management, business, science, and arts occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Service occupations; Estimate; Professional, scientific, and management, and administrative and waste management services","Service occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Sales and office occupations; Estimate; Professional, scientific, and management, and administrative and waste management services","Sales and office occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Natural resources, construction, and maintenance occupations; Estimate; Professional, scientific, and management, and administrative and waste management services","Natural resources, construction, and maintenance occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Production, transportation, and material moving occupations; Estimate; Professional, scientific, and management, and administrative and waste management services","Production, transportation, and material moving occupations; Margin of Error; Professional, scientific, and management, and administrative and waste management services","Total; Estimate; Educational services, and health care and social assistance","Total; Margin of Error; Educational services, and health care and social assistance","Management, business, science, and arts occupations; Estimate; Educational services, and health care and social assistance","Management, business, science, and arts occupations; Margin of Error; Educational services, and health care and social assistance","Service occupations; Estimate; Educational services, and health care and social assistance","Service occupations; Margin of Error; Educational services, and health care and social assistance","Sales and office occupations; Estimate; Educational services, and health care and social assistance","Sales and office occupations; Margin of Error; Educational services, and health care and social assistance","Natural resources, construction, and maintenance occupations; Estimate; Educational services, and health care and social assistance","Natural resources, construction, and maintenance occupations; Margin of Error; Educational services, and health care and social assistance","Production, transportation, and material moving occupations; Estimate; Educational services, and health care and social assistance","Production, transportation, and material moving occupations; Margin of Error; Educational services, and health care and social assistance","Total; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Total; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Management, business, science, and arts occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Management, business, science, and arts occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Service occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Service occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Sales and office occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Sales and office occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Natural resources, construction, and maintenance occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Natural resources, construction, and maintenance occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Production, transportation, and material moving occupations; Estimate; Arts, entertainment, and recreation, and accommodation and food services","Production, transportation, and material moving occupations; Margin of Error; Arts, entertainment, and recreation, and accommodation and food services","Total; Estimate; Other services, except public administration","Total; Margin of Error; Other services, except public administration","Management, business, science, and arts occupations; Estimate; Other services, except public administration","Management, business, science, and arts occupations; Margin of Error; Other services, except public administration","Service occupations; Estimate; Other services, except public administration","Service occupations; Margin of Error; Other services, except public administration","Sales and office occupations; Estimate; Other services, except public administration","Sales and office occupations; Margin of Error; Other services, except public administration","Natural resources, construction, and maintenance occupations; Estimate; Other services, except public administration","Natural resources, construction, and maintenance occupations; Margin of Error; Other services, except public administration","Production, transportation, and material moving occupations; Estimate; Other services, except public administration","Production, transportation, and material moving occupations; Margin of Error; Other services, except public administration",Total; Estimate; Public administration,Total; Margin of Error; Public administration,"Management, business, science, and arts occupations; Estimate; Public administration","Management, business, science, and arts occupations; Margin of Error; Public administration",Service occupations; Estimate; Public administration,Service occupations; Margin of Error; Public administration,Sales and office occupations; Estimate; Public administration,Sales and office occupations; Margin of Error; Public administration,"Natural resources, construction, and maintenance occupations; Estimate; Public administration","Natural resources, construction, and maintenance occupations; Margin of Error; Public administration","Production, transportation, and material moving occupations; Estimate; Public administration","Production, transportation, and material moving occupations; Margin of Error; Public administration",Total; Estimate; PERCENT ALLOCATED - Industry,Total; Margin of Error; PERCENT ALLOCATED - Industry,"Management, business, science, and arts occupations; Estimate; PERCENT ALLOCATED - Industry","Management, business, science, and arts occupations; Margin of Error; PERCENT ALLOCATED - Industry",Service occupations; Estimate; PERCENT ALLOCATED - Industry,Service occupations; Margin of Error; PERCENT ALLOCATED - Industry,Sales and office occupations; Estimate; PERCENT ALLOCATED - Industry,Sales and office occupations; Margin of Error; PERCENT ALLOCATED - Industry,"Natural resources, construction, and maintenance occupations; Estimate; PERCENT ALLOCATED - Industry","Natural resources, construction, and maintenance occupations; Margin of Error; PERCENT ALLOCATED - Industry","Production, transportation, and material moving occupations; Estimate; PERCENT ALLOCATED - Industry","Production, transportation, and material moving occupations; Margin of Error; PERCENT ALLOCATED - Industry"
0400000US12,12,Florida,9219488,34405,34.3,0.3,20.6,0.3,26.3,0.3,9.5,0.2,9.3,0.2,89217,6369,18.6,2.5,7.7,1.9,5.3,1.2,60.6,3.5,7.7,2.2,693112,16948,17.9,0.9,0.6,0.2,6.9,0.5,71.3,0.9,3.4,0.4,460163,11989,32.4,1.2,1.8,0.4,16.7,1.2,7.7,0.8,41.4,1.6,235826,9387,20.5,1.5,1.2,0.4,55.9,1.8,4.0,0.6,18.4,1.6,1220221,24307,11.0,0.6,4.3,0.3,71.0,0.7,3.5,0.3,10.2,0.5,504058,13039,15.3,0.9,2.9,0.4,23.0,1.1,8.7,0.7,50.0,1.3,163709,8978,48.4,2.3,3.8,0.9,33.7,2.3,11.1,1.5,3.1,0.9,707926,16026,41.3,1.2,4.3,0.4,49.7,1.2,2.0,0.4,2.7,0.4,1187156,19285,47.6,0.7,24.2,0.8,20.3,0.6,3.7,0.3,4.2,0.4,1915683,25642,64.0,0.7,21.0,0.5,12.4,0.4,0.8,0.1,1.7,0.2,1158318,22553,17.8,0.7,62.7,0.9,13.8,0.7,1.6,0.3,4.2,0.4,484663,11410,19.1,1.2,43.9,1.3,11.8,0.8,14.3,1.0,10.9,0.8,399436,13524,38.4,1.4,35.4,1.5,20.3,1.3,3.6,0.5,2.2,0.5,13.4,(X),(X),(X),(X),(X),(X),(X),(X),(X),(X),(X)
