GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Median earnings (dollars); Estimate; Civilian employed population 16 years and over with earnings
HC01_MOE_VC01,Median earnings (dollars); Margin of Error; Civilian employed population 16 years and over with earnings
HC02_EST_VC01,Median earnings (dollars) for male; Estimate; Civilian employed population 16 years and over with earnings
HC02_MOE_VC01,Median earnings (dollars) for male; Margin of Error; Civilian employed population 16 years and over with earnings
HC03_EST_VC01,Median earnings (dollars) for female; Estimate; Civilian employed population 16 years and over with earnings
HC03_MOE_VC01,Median earnings (dollars) for female; Margin of Error; Civilian employed population 16 years and over with earnings
HC04_EST_VC01,Women's earnings as a percentage of men's earning; Estimate; Civilian employed population 16 years and over with earnings
HC04_MOE_VC01,Women's earnings as a percentage of men's earning; Margin of Error; Civilian employed population 16 years and over with earnings
HC01_EST_VC02,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations:"
HC01_MOE_VC02,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations:"
HC02_EST_VC02,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations:"
HC02_MOE_VC02,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations:"
HC03_EST_VC02,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations:"
HC03_MOE_VC02,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations:"
HC04_EST_VC02,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations:"
HC04_MOE_VC02,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations:"
HC01_EST_VC03,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC01_MOE_VC03,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC02_EST_VC03,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC02_MOE_VC03,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC03_EST_VC03,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC03_MOE_VC03,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC04_EST_VC03,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC04_MOE_VC03,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations:"
HC01_EST_VC04,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC01_MOE_VC04,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC02_EST_VC04,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC02_MOE_VC04,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC03_EST_VC04,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC03_MOE_VC04,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC04_EST_VC04,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC04_MOE_VC04,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Management occupations"
HC01_EST_VC05,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC01_MOE_VC05,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC02_EST_VC05,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC02_MOE_VC05,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC03_EST_VC05,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC03_MOE_VC05,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC04_EST_VC05,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC04_MOE_VC05,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Management, business, and financial occupations: - Business and financial operations occupations"
HC01_EST_VC06,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC01_MOE_VC06,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC02_EST_VC06,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC02_MOE_VC06,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC03_EST_VC06,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC03_MOE_VC06,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC04_EST_VC06,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC04_MOE_VC06,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations:"
HC01_EST_VC07,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC01_MOE_VC07,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC02_EST_VC07,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC02_MOE_VC07,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC03_EST_VC07,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC03_MOE_VC07,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC04_EST_VC07,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC04_MOE_VC07,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Computer and mathematical occupations"
HC01_EST_VC08,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC01_MOE_VC08,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC02_EST_VC08,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC02_MOE_VC08,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC03_EST_VC08,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC03_MOE_VC08,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC04_EST_VC08,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC04_MOE_VC08,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Architecture and engineering occupations"
HC01_EST_VC09,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC01_MOE_VC09,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC02_EST_VC09,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC02_MOE_VC09,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC03_EST_VC09,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC03_MOE_VC09,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC04_EST_VC09,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC04_MOE_VC09,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Computer, engineering, and science occupations: - Life, physical, and social science occupations"
HC01_EST_VC10,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC01_MOE_VC10,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC02_EST_VC10,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC02_MOE_VC10,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC03_EST_VC10,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC03_MOE_VC10,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC04_EST_VC10,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC04_MOE_VC10,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations:"
HC01_EST_VC11,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC01_MOE_VC11,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC02_EST_VC11,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC02_MOE_VC11,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC03_EST_VC11,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC03_MOE_VC11,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC04_EST_VC11,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC04_MOE_VC11,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Community and social services occupations"
HC01_EST_VC12,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC01_MOE_VC12,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC02_EST_VC12,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC02_MOE_VC12,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC03_EST_VC12,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC03_MOE_VC12,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC04_EST_VC12,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC04_MOE_VC12,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Legal occupations"
HC01_EST_VC13,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC01_MOE_VC13,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC02_EST_VC13,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC02_MOE_VC13,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC03_EST_VC13,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC03_MOE_VC13,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC04_EST_VC13,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC04_MOE_VC13,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Education, training, and library occupations"
HC01_EST_VC14,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC01_MOE_VC14,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC02_EST_VC14,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC02_MOE_VC14,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC03_EST_VC14,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC03_MOE_VC14,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC04_EST_VC14,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC04_MOE_VC14,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Education, legal, community service, arts, and media occupations: - Arts, design, entertainment, sports, and media occupations"
HC01_EST_VC15,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC01_MOE_VC15,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC02_EST_VC15,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC02_MOE_VC15,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC03_EST_VC15,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC03_MOE_VC15,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC04_EST_VC15,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC04_MOE_VC15,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations:"
HC01_EST_VC16,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC01_MOE_VC16,"Median earnings (dollars); Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC02_EST_VC16,"Median earnings (dollars) for male; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC02_MOE_VC16,"Median earnings (dollars) for male; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC03_EST_VC16,"Median earnings (dollars) for female; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC03_MOE_VC16,"Median earnings (dollars) for female; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC04_EST_VC16,"Women's earnings as a percentage of men's earning; Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC04_MOE_VC16,"Women's earnings as a percentage of men's earning; Margin of Error; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health diagnosing and treating practitioners and other technical occupations"
HC01_EST_VC17,"Median earnings (dollars); Estimate; Management, business, science, and arts occupations: - Healthcare practitioner and technical occupations: - Health technologists and technicians"
